cpi_id,cpi_value,sector_id,year,base_year,period_category
264,108.821,2,2022,2019,postcovid
265,115.54,2,2023,2019,postcovid
266,119.718,2,2024,2019,postcovid
267,98.378,2,2018,2019,precovid
268,100,2,2019,2019,covid
269,101.273,2,2020,2019,covid
270,102.783,2,2021,2019,covid
271,108.657,2,2022,2019,postcovid
272,115.268,2,2023,2019,postcovid
273,119.171,2,2024,2019,postcovid
274,99.485,2,2018,2019,precovid
275,100,2,2019,2019,covid
276,101.442,2,2020,2019,covid
277,102.944,2,2021,2019,covid
278,106.629,2,2022,2019,postcovid
279,113.336,2,2023,2019,postcovid
280,118.651,2,2024,2019,postcovid
281,99.589,2,2018,2019,precovid
282,100,2,2019,2019,covid
283,101.118,2,2020,2019,covid
284,102.415,2,2021,2019,covid
285,106.307,2,2022,2019,postcovid
286,113.626,2,2023,2019,postcovid
287,119.129,2,2024,2019,postcovid
288,99.523,2,2018,2019,precovid
289,100,2,2019,2019,covid
290,101.314,2,2020,2019,covid
291,102.837,2,2021,2019,covid
292,106.193,2,2022,2019,postcovid
293,112.421,2,2023,2019,postcovid
294,117.012,2,2024,2019,postcovid
295,98.236,2,2018,2019,precovid
296,100,2,2019,2019,covid
297,101.506,2,2020,2019,covid
298,102.647,2,2021,2019,covid
299,107.819,2,2022,2019,postcovid
300,114.165,2,2023,2019,postcovid
301,118.494,2,2024,2019,postcovid
302,98.58,2,2018,2019,precovid
303,100,2,2019,2019,covid
304,101.429,2,2020,2019,covid
305,102.765,2,2021,2019,covid
306,108.075,2,2022,2019,postcovid
307,114.504,2,2023,2019,postcovid
308,118.711,2,2024,2019,postcovid
309,98.24,2,2018,2019,precovid
310,100,2,2019,2019,covid
311,101.484,2,2020,2019,covid
312,102.646,2,2021,2019,covid
313,107.622,2,2022,2019,postcovid
314,114.01,2,2023,2019,postcovid
315,118.427,2,2024,2019,postcovid
316,105.92,3,2018,2019,
317,100,3,2019,2019,
318,90.83,3,2020,2019,
319,91.382,3,2021,2019,
320,111.145,3,2022,2019,
321,116.09,3,2023,2019,
322,122.148,3,2024,2019,
323,105.92,3,2018,2019,
324,100,3,2019,2019,
325,90.61,3,2020,2019,
326,91.382,3,2021,2019,
327,111.145,3,2022,2019,
328,116.09,3,2023,2019,
329,122.148,3,2024,2019,
330,105.92,3,2018,2019,
331,100,3,2019,2019,
332,90.846,3,2020,2019,
333,91.382,3,2021,2019,
334,111.145,3,2022,2019,
335,116.09,3,2023,2019,
336,122.148,3,2024,2019,
337,99.963,3,2018,2019,
338,100,3,2019,2019,
339,97.4,3,2020,2019,
340,102.356,3,2021,2019,
341,111.66,3,2022,2019,
342,109.922,3,2023,2019,
343,116.183,3,2024,2019,
344,99.985,3,2018,2019,
345,100,3,2019,2019,
346,95.038,3,2020,2019,
347,103.026,3,2021,2019,
348,111.13,3,2022,2019,
349,109.043,3,2023,2019,
350,115.15,3,2024,2019,
351,99.943,3,2018,2019,
352,100,3,2019,2019,
353,96.581,3,2020,2019,
354,101.912,3,2021,2019,
355,112.011,3,2022,2019,
356,110.504,3,2023,2019,
357,116.867,3,2024,2019,
358,100.741,3,2018,2019,
359,100,3,2019,2019,
360,99.889,3,2020,2019,
361,100.923,3,2021,2019,
362,105.782,3,2022,2019,
363,110.181,3,2023,2019,
364,113.768,3,2024,2019,
365,101.052,3,2018,2019,
366,100,3,2019,2019,
367,99.413,3,2020,2019,
368,101.218,3,2021,2019,
369,106.744,3,2022,2019,
370,111.512,3,2023,2019,
371,115.145,3,2024,2019,
372,101.17,3,2018,2019,
373,100,3,2019,2019,
374,99.671,3,2020,2019,
375,101.188,3,2021,2019,
376,106.754,3,2022,2019,
377,111.444,3,2023,2019,
378,115.099,3,2024,2019,
379,99.869,3,2018,2019,
380,100,3,2019,2019,
381,92.839,3,2020,2019,
382,109.29,3,2021,2019,
383,129.73,3,2022,2019,
384,124.801,3,2023,2019,
385,128.469,3,2024,2019,
386,99.951,3,2018,2019,
387,100,3,2019,2019,
